name,price,category,timestamp
"Notebook IdeaPad Gaming 3i Intel Core i5-10300H 8GB RAM 256GB SSD Placa Dedicada GTX 1650 4GB Windows 10 15.6"" Full HD WVA Azul","6.439,",notebooks,2023-08-31 13:40:54
"Notebook ideapad Gaming 3i i7-10750H 8GB RAM 512GB SSD Placa Dedicada GTX 1650 4GB Windows 10 15.6"" Full HD WVA Azul","7.099,",notebooks,2023-08-31 13:40:54
Laptop de 156 Polegadas 5000mAh Silver Quad Core Processador N5095 de 11ª Geração Notebook para Escritório Com Leitor de Impressão Digital para 11 Pro para Jogos (256 GB,,notebooks,2023-08-31 13:40:54
Portátil 4500mAh Portátil Digital de 14 Polegadas 16 GB de RAM Resolução de chá Preto 1920 X 1200 para Jogos para 11 (16 GB + 512 GB plugue americano),,notebooks,2023-08-31 13:40:54
Laptop para Jogos 4096 Pressure 12GB DDR5 RAM RGB Backlit Touchscreen 156 Polegadas 5800mAh Bateria Tablet Laptop para Família (plugue americano 512 GB),,notebooks,2023-08-31 13:40:54
Laptop para Console de Jogos Mini Laptop de Mão Plugue Dos EUA 100‑240 V Núcleo Octa para Escritório,,notebooks,2023-08-31 13:40:54
Laptop para Jogos Dual Band WiFi 5000mAh Quad Core CPU 16GB RAM 156 Polegadas Laptop Empresarial para Jogos (16G+256G plugue da ue),,notebooks,2023-08-31 13:40:54
Laptop Gaming Inter Celeron N5095 de 156 Polegadas 32 GB de RAM Tela IPS 1080P e Leitor de Impressão Digital Windows 11 USB DC HDML SD AUX Microfone Embutido (Ficha UE,,notebooks,2023-08-31 13:40:54
16 In FHD Laptop Gaming Inter 12 GB DDR4 RAM 1 TB M.2 NVME SSD Construído Em Alto-falante Duplo USB HDML AUX Slot para Cartão de Memória Superdesempenho Laptop Mais Recente,,notebooks,2023-08-31 13:40:54
Newst Laptop de 14 Polegadas para Windows 11 Pro 8GB 8GB DDR4 RAM Laptop para Jogos para Processador Intel J4105 Com Tela IPS 1920x1200 Quad Core Four Thread até (Plugue EUA,,notebooks,2023-08-31 13:40:54
Newst Laptop de 101 Polegadas 64G ROM Dual Core Mini Ultrabook Laptop Educacional e de Jogos para Crianças Laptop Portátil Com Mouse para Win 10 (plugue da ue 6G+64G),,notebooks,2023-08-31 13:40:54
Laptop de 14 Polegadas Com SSD de 8 GB Ram 512g para CPU Intel J4105 Resolução de 1920 X 1080 Quad Core Quad Threaded Suporte para Windows 10 2 Portas USB 3.0 para Jogar,,notebooks,2023-08-31 13:40:54
Laptop Ultrafino Tela Full HD de 14 Polegadas Intel J4106 8 GB DDR4 2.4G 5G WIFI Suporte Ao Sistema Windows 11 Pro Adequado para Jogos de Aprendizagem No Escritório (plugue,,notebooks,2023-08-31 13:40:54
Laptop de Bolso de 80 Polegadas Processador I7 1195G7 Tela de Luz Solar de 8 Polegadas Laptop de Bolso Portátil 110-240V para Viagens Jogos para Escritório (plugue americano),"6.725,",notebooks,2023-08-31 13:40:54
